Category;Points;Question;Answer
Julefilmer;100;"Hvor mange spøkelser møter vi i ""A Christmas Carol""?";Hva er 'fire'
Julefilmer;200;"Hvilket språk er ""Tre Nøtter Til Askepott"" egentlig på?";Hva er 'tsjekkisk (og tysk)'
Julefilmer;300;Hva er fornavnet til Scrooge?;Hva er 'Ebenezer'
Julefilmer;400;Hva heter de fire gjestene hos Grevinnen?;Hvem er 'Sir Toby, Admiral von Schneider, Mister Pomeroy, Mister Winterbottom'
Julefilmer;500;I hvilken film spiller samme skuespiller 6 forskjellige roller?;Hva er 'Polarekspressen (Tom Hanks)'
Julefilmer;600;Grinchen stjal alle gavene fra hvilken by?;Hva er 'WhoVille'
Julefilmer;700;Hva heter skuespilleren som spiller Kevin McCallister i Alene Hjemme?;Hvem er 'Macaulay Culkin'
Julefilmer;800;"""The Miracle on 34th Street"" sentrerer seg rundt hvilken butikk?";Hva er 'Macy's'
Julefilmer;900;I polarekspressen, hva får gutten i gave av nissen?;Hva er 'en bjelle'
Julefilmer;1000;"I filmen ""Elf"", hva er den første regelen i 'The Code of Elves'?";Hva er 'Treat every day like Christmas'
Julemat;100;Hva er den mest populære julematen i Norge?;Hva er 'ribbe'
Julemat;200;Hvilken frukt er mest vanlig å legge i julestrømper?;Hva er 'appelsin/klementin'
Julemat;300;Hvilket dyr er laget av mandler, eggehvite og melis?;Hva er 'marsipangrisen'
Julemat;400;"Hva er det man griller over bålet i sangen ""The Christmas Song"" av Nat King Cole?";Hva er 'kastanjer'
Julemat;500;Nevn minst 4 av de 7 opprinnelige slagene man baker til jul.;Hva er 'goro, smultringer, fattigmann, berlinerkranser, sandkaker, krumkaker, sirupsnipper'
Julemat;600;Hvilket bær brukes til å lage sausen man spiser til kalkun?;Hva er 'tranebær'
Julemat;700;Hva er hovedingrediensen i kransekake?;Hva er 'mandler'
Julemat;800;"Hva er ""klippfisk""?";Hva er 'tørket og saltet fisk, vanligvis torsk'
Julemat;900;Hva heter den tradisjonelle italienske kaken som spises rundt juletider?;Hva er 'panettone'
Julemat;1000;I hvilket land er det vanlig å spise KFC på julaften?;Hva er 'Japan'
Julekalendere;100;Hvor utspiller Jul i Svingen seg?;Hva er 'Svingen'
Julekalendere;200;Hvilken norsk TV-kanal sendte den første julekalenderen?;Hva er 'NRK'
Julekalendere;300;Hva heter skomakeren i Jul i Skomakergata?;Hvem er 'Jens Petrus Andersen'
Julekalendere;400;Hva heter karakteren, spilt av Atle Antonsen, som stadig ble sendt ut og inn av Nissene på Låven?;Hvem er 'Bent Leikvoll'
Julekalendere;500;Hva heter rødnissejenta vi følger i Jul på Månetoppen?;Hvem er 'Jentungen'
Julekalendere;600;I Jul i Svingen, hvilken idrett drev faren til Nure med?;Hva er 'bryting'
Julekalendere;700;Hva heter Fleksnes til fornavn?;Hvem er 'Marve'
Julekalendere;800;Hva heter den mest populære julekalenderen gjennom tidene?;Hva er 'Jul i Skomakergata'
Julekalendere;900;Når ble Jul i Blåfjell sendt på TV for første gang?;Hva er '1999'
Julekalendere;1000;Hva heter morderen i Jul i Blodfjell, sesong 1?;Hvem er 'Putti'
Juletradisjoner;100;Hva kaller amerikanerne den 25. desember?;Hva er 'Boxing Day'
Juletradisjoner;200;Hva slags type mat er ofte lagt ut til nissen?;Hva er 'kjeks og melk'
Juletradisjoner;300;Hva heter aktiviteten barn ofte gjør i romjulen når de går fra dør til dør og synger for godteri?;hva er 'julebukk'
Juletradisjoner;400;Hvilket dyr er det hovmesteren snubler i?;Hva er 'tiger'
Juletradisjoner;500;Hva heter Disney-kavalkaden som sendes på julaften hvert år?;Hva er 'Donald Duck og vennene hans'
Juletradisjoner;600;Hva heter den berømte russiske balletten som går i julen?;Hva er 'Nøtteknekkeren'
Juletradisjoner;700;Hva er det egentlige navnet til nissen?;Hvem er 'Kris Kringle'
Juletradisjoner;800;Hva symboliserer stjernen på toppen av juletreet?;Hva er 'stjernen som viste vei til stallen hvor Jesus ble født'
Juletradisjoner;900;Hva heter engelen som fortalte Jomfru Maria at hun skulle få barn?;Hvem er 'Gabriel'
Juletradisjoner;1000;Hvorfor fant man på å stikke nellikspiker inn i en appelsin?;Hva er 'for å holde pesten unna. Nellik og appelsin lager mye lukt, og man trodde at dersom man ikke kunne lukte pesten, så kunne man ikke bli smittet.'
Diverse;100;Hvilke tre gaver fikk Jesus av de tre vise menn?;Hva er 'gull, røkelse og myrra'
Diverse;200;Hvor mange ganger sjekker nissen listen sin?;Hva er '2'
Diverse;300;Hvilket kornslag lages det julenek av?;Hva er 'havre'
Diverse;400;Hvor mange reinsdyr drar sleden til nissen?;Hva er '9'
Diverse;500;Hvilken typisk juleplante er egentlig en parasittplante?;Hva er 'misteltegn'
Diverse;600;Hvilken julesang har solgt mest gjennom tidene?;"Hva er '""White Christmas"" av Bing Crosby'"
Diverse;700;Tre av nissens reinsdyr starter på bokstaven D. Hva heter de?;Hvem er 'Dancer, Dasher, og Donner'
Diverse;800;Hvilket eventyrhus er pepperkakehuset inspirert av?;Hva er 'Hans og Grethe sitt hus'
Diverse;900;"Hvem skrev den kjente fortellingen ""A Christmas Carol"" (""En Julefortelling"")?";Hvem er 'Charles Dickens'
Diverse;1000;Hvilken kjent julesang er egentlig skrevet for Thanksgiving?;Hva er 'Jingle Bells'
